11851 6337 43
8050 6986 134
6170 5038 102
10722 2867 186
12547 5806 17
11172 3528 189
11850 2435 50
8525 4520 135
3093 6547 106
8308 3957 69
8614 5568 167
6880 3481 199
9816 6217 18
9188 1240 9
2720 6042 113
8309 6674 73
10152 2254 203
4035 6837 125
11527 3449 162
7550 4010 168
10267 1742 133
4848 7448 150
8579 2314 145
3608 6518 193
8438 4923 191
9624 3304 186
4854 7466 95
6514 2784 26
8061 5666 159
8162 6054 128
7614 3230 199
9794 4720 184
6656 3897 92
10481 700 58
3619 5092 152
11169 3017 11
10312 1789 122
5980 6111 170
5833 4702 6
11807 3703 23
9565 6914 46
4573 6020 64
10017 1965 37
12430 4342 199
9394 4452 161
6711 2686 116
7915 5903 140
5203 4713 151
6881 3613 27
8712 5886 13
10858 6908 146
4619 7441 73
2146 6481 159
11627 3891 106
3971 7365 175
10606 1356 189
5425 7384 115
9238 5320 111
10072 2854 114
11525 5528 176
10091 2137 64
13093 3302 124
10614 3660 192
11551 3707 4
13610 4356 59
13686 4790 108
11778 2568 115
10456 2408 188
9740 6297 191
7045 3407 53
7386 3571 70
6615 3674 19
11257 3853 169
3651 7517 168
11644 5023 135
12234 3615 188
9103 4939 122
7565 3681 30
10323 1711 189
4315 6605 174
7348 6772 188
9500 4883 9
8143 2456 159
7300 4873 54
5684 4940 82
3846 7461 17
11301 5587 182
10720 2681 63
2356 7404 141
3246 6762 162
2414 5921 146
8168 4294 113
4728 5962 155
2788 5155 119
13404 5526 57
11198 4411 54
3283 6979 152
6514 5929 141
9333 7191 180
10243 1744 34
4803 6979 64
12658 6363 18
5498 7214 28
6989 4880 43
6334 6148 150
6054 4735 169
12170 3507 201
10768 2413 30
10562 2524 93
8317 4217 160
11892 5449 98
8860 1353 31
11286 3111 84
11276 3337 19
8082 5141 30
3749 4969 61
3651 6411 200
12362 4134 177
12856 6159 138
7569 5399 194
9288 1028 23
7381 5705 25
9634 4682 136
10162 5362 15
5498 5738 104
5558 3591 111
6865 2594 191
2617 6754 135
11881 5652 200
11532 3036 48
11833 4133 156
10431 2511 97
7721 5763 167
7145 5327 154
4905 3291 183
12145 5541 68
7388 4421 165
10888 4601 25
9169 7045 145
8401 4456 187
7629 1644 13
7195 4483 94
9016 1386 132
8363 4137 145
4055 6329 36
8628 1447 165
8075 6711 196
7270 3679 42
5362 4449 136
7367 4623 188
4930 4733 76
6128 5034 109
9903 6818 146
5253 7041 93
4585 5137 46
4175 6562 152
9306 4864 57
8153 7299 173
11969 1402 52
3826 7144 92
13315 3804 135
3614 6125 60
12055 6299 29
11772 4575 177
13634 4403 79
5805 5542 94
5881 5296 81
4754 6439 128
9227 6283 17
12129 5361 64
6645 3083 190
12471 1862 177
10914 3012 82
2610 7192 106
12278 6209 177
11610 5596 192
7882 5689 42
7797 5357 41
10114 1891 170
8389 6884 147
7040 1965 38
3453 5458 58
4524 7693 175
10389 2174 130
3261 6947 156
12119 6156 110
8510 5845 161
9309 1555 101
11718 4781 168
11111 5468 95
8899 5712 85
9416 2886 152
9836 3796 195
5285 4575 24
4030 5793 28
9966 3399 163
9418 5039 68
7896 7191 188
3271 4907 120
8098 2935 193
11897 5936 197
3382 5136 96
6355 5461 120
4863 7442 48
5713 5905 194
11323 3534 47
5947 4724 136
7626 4737 28
7610 6361 27
2698 6466 125
11998 1819 90
7263 5439 22
11040 3708 162
8341 1888 24
13171 4826 195
11926 2207 177
9592 3185 34
9456 2632 191
12300 1695 33
12351 2130 174
13152 3550 44
10349 2344 80
6659 5610 144
3507 5302 42
8712 5538 77
13114 3306 124
8290 6647 188
2661 6261 149
10751 4629 102
12295 4038 29
5954 5074 22
6672 3453 181
4254 5877 155
11076 5642 124
11191 2640 94
3601 7138 175
5167 6931 111
12651 1910 74
13453 3469 130
8639 893 32
3567 7252 50
8104 4237 98
8697 4840 116
5230 5822 166
3626 4029 127
8878 4585 181
2961 5098 142
11579 3602 56
12790 6095 140
11228 4690 25
6924 3307 188
12453 6702 135
13590 6568 132
10145 2508 21
6438 5882 21
4250 4951 179
7268 6667 114
8805 4577 196
7061 6038 138
11325 1229 66
4701 6628 158
